bc5baad7d41ab5c8fd1d2a2f42ac296c,correct,1557384285,お説教を聞く？,true
66aade01b7bf9677313b97309150857d,correct,1557394266,Googleの音声認識っていい,false
b67c3a1948c6287cc49736a6a117039a,incorrect,1557296254,素晴らしい,false
dbd89655c8290d15ec87bf4733090f1f,correct,1557296041,鈴木さん,false
d38c630a9d149fecd7733157be660b7a,incorrect,1557296098,会社ですか,false
53fe9ea3bbb0ddeaa22adc281aa787dd,correct,1557379072,今日は暑い？,true
96b9173ab7c8421cb8b5bbaae46d941a,correct,1557379437,この料理まずい,false
27c311ec9b46881e1af2906b234395d3,correct,1557379662,気分がいい？,true
4ad4fd055cef2a54f2abbb95fdf98ec8,correct,1557380098,この人邪魔,false
bd1934264883f6922b5d7466987467f9,correct,1557384145,東京に住む？,true
